マタイ,見出し,ルカ,ルカ,見出し
1:1-17,イエス・キリストの系図,3:23-38,1:1-4,献呈の言葉
1:18-24,イエス・キリストの誕生,2:1-7,1:5-25,洗礼者ヨハネの誕生、予告される
2:1-12,東方の博士たちが訪れる,,1:26-38,イエスの誕生が予告される
2:13-15,エジプトに避難する,,1:39-45,マリア、エリザベトを訪ねる
2:16-18,ヘロデ、こどもを皆殺しにする,,1:46-56,マリアの讃歌
2:19-23,エジプトから帰国する,,1:57-66,洗礼者ヨハネの誕生
,,,1:67-80,ザカリアの預言
,,,2:8-21,羊飼いと天使
,,,2:22-38,神殿で献げられる
,,,2:39-40,ナザレに帰る
,,,2:41-52,神殿での少年イエス
4:23-25,おびただしい病人を癒やす,6:17-19,,
5:1-2,山上の説教を始める,,,
5:3-12,幸い,6:20-23,,
5:17-20,律法について,,,
5:21-26,腹を立ててはならない,,,
5:27-30,姦淫してはならない,,,
5:33-37,誓ってはならない,,,
5:38-42,復習してはならない,6:29-30,,
5:43-48,敵を愛しなさい,6:27; 32-36,,
6:1-4,施しをするときには,,,
6:5-15,祈るときには,11:2-4,,
6:16-18,断食をするときには,,,
6:19-21,天に宝を積みなさい,12:33-34,,
6:22-23,目は体の灯,11:34-36,,
6:24-24,神と富,16:13-13,,
6:25-34,思い煩うな,12:22-32,,
7:1-6,人を裁くな,6:37-38; 41-42,,
7:7-12,求めなさい,11:9-13,,
7:13-14,狭い門,13:24-24,,
7:15-20,実によって木を知る 12:33,6:43-44,,
7:21-23,あなたがたのことは知らない,13:25-27,,
7:24-29,家と土台,6:47-49,,
8:5-13,百人隊長の子を癒やす,7:1-10,7:11-17,やもめの息子を生き返らせる
8:18-22,弟子の覚悟,9:57-62,7:36-50,罪深い女を赦す
9:27-31,二人の盲人を癒やす,,8:1-3,イエスに仕える女たち
9:32-34,口の利けない人を癒やす,,9:51-56,サマリア人から歓迎されない
9:35-38,群衆に同情する,,10:1-12,七十二人を派遣する
10:26-31,恐るべき者,12:2-7,10:17-20,七十二人、帰って来る
10:32-33,人前でイエスを認める,12:8-9,10:25-37,善いサマリア人
10:34-39,平和でなく剣を,12:51-53; 14:26-27,10:38-42,マルタとマリア
11:2-19,洗礼者ヨハネとイエス,7:18-35,11:27-28,真の幸い
11:20-24,悔い改めない町を叱る,10:13-15,12:1-3,偽善に気をつけさせる
11:25-30,私のもとに来なさい,10:21-22,12:13-21,「愚かな金持ち」のたとえ
12:15-21,傷ついた葦を折ることはない,,13:1-5,悔い改めなければ滅びる
12:33-37,実によって木を知る 7:16-20,6:43-45,13;6-9,「実がならないいちじくの木」のたとえ
12:43-45,汚れた霊が戻って来る,11:24-26,13:10-17,安息日に、腰の曲がった女を癒やす
13:24-30,「毒麦」のたとえ,,14:1-6,安息日に水腫の人を癒やす
13:36-43,「毒麦」のたとえの説明,,14;7-14,客と招待する者への教訓
13:44-50,「天国」のたとえ,,15:8-10,「無くした銀貨」のたとえ
13:51-52,天国のことを学んだ学者,,15:11-32,「いなくなった息子」のたとえ
15:29-31,大勢の病人を癒やす,,16:1-13,「不正な管理人」のたとえ
18:10-14,「迷い出た羊」のたとえ,15:3-7,16:19-31,金持ちとラザロ
18:15-20,きょうだいの忠告,17:3-3,17:11-19,規定の病を患っている十人の人を清める
18:21-35,「仲間を赦さない家来」のたとえ,,18:1-8,「やもめと裁判官」のたとえ
20:1-16,「ぶどう園の労働者」のたとえ,,18:9-14,「ファリサイ派の人と徴税人」のたとえ
21:28-32,「二人の息子」のたとえ,,19:1-10,徴税人ザアカイ
22:1-14,「婚礼の祝宴」のたとえ,14:15-24,,
23:37-39,エルサレムのために嘆く,13:34-35,21:34-38,目を覚ましていなさい
24:45-51,忠実な僕と悪い僕,12:41-48,22:24-30,いちばん偉い者
25:1-12,「十人のおとめ」のたとえ,,,
25:14-30,「タラントン」のたとえ,19:11-27,,
25:31-46,すべての民族を裁く,,,
27:3-10,ユダ自殺する,,,
27:62-65,番兵、墓を見張る,,22:35-38,財布と袋と剣
28:11-15,番兵、報告する,,23:6-12,ヘロデから尋問される